ADJECTIVE,POS FREQ,NEG FREQ,TomDS
flagrant,0,0,
excitant,0,0,
embarrassé,0,0,
chétif,0,0,
chantant,1,0,
autrichien,0,0,
agricole,0,0,
séparé,0.67,0.33,
strident,0,0,
marqué,0.83,0.17,
interne,1,0,
céleste,0,0,
écoeurant,0,0,
sixième,0,0,
sculpté,0,0,
saugrenu,0,1,
passif,1,0,
libéral,0,0,
initial,0,0,
bleuâtre,0,0,
blanchâtre,0,0,
attendu,0.29,0.71,
attaché,1,0,
salaud,0,0,
résigné,0,0,
ridé,0,0,
planté,0,0,
mi-clos,0,0,
lavé,0,0,
laborieux,0,1,
inhabituel,0,0,
inexplicable,1,0,
fébrile,0,0,
bouclé,0,0,
artiste,0.8,0.2,
vaincu,1,0,
uniforme,1,0,
tournant,0,0,
toc,0,0,
suppliant,0,0,
super,0.67,0.33,
musulman,1,0,
indulgent,0,0,
inachevé,0,1,
hérétique,0,0,
harmonieux,0,0,
disant,0.12,0.88,
concret,0,0,
bleuté,0,0,
avare,0,0,
abattu,0,0,
écrasant,1,0,
vicieux,0,0,
taillé,0,0,
passionnant,1,0,
nourri,1,0,
musclé,0,0,
minutieux,1,0,
audacieux,0,0,
abondant,0,0,
vénitien,0,0,
réglementaire,0,0,
plastique,0,0,
parent,0.55,0.45,
obstiné,0,0,
mesquin,0,0,
gardien,1,0,
excité,0,0,
douillet,0,0,
admiratif,1,0,
vibrant,1,0,
vainqueur,1,0,
suédois,0,0,
sonnant,0,0,
savoureux,0.6,0.4,
juvénile,0,1,
impénétrable,0,0,
flasque,0,0,
dansant,0,0,
cultivé,0,0,
brumeux,0,0,
alerte,0.67,0.33,
épatant,0,0,
tu,0.43,0.57,
syrien,0,0,
ruisselant,0,0,
respectable,0,0,
rayé,0,0,
pourpre,0,0,
policier,0.75,0.25,
plaintif,0,0,
piquant,0.33,0.67,
passager,0,0,
palpitant,1,0,
odorant,0,0,
dû,0.21,0.79,
bouleversé,1,0,
analogue,0,0,
éclair,0,1,
verbal,0,0,
périlleux,1,0,
illisible,0,1,
ferré,0,0,
exaltant,0,0,
dégoûtant,0,0,
continuel,1,0,
capricieux,1,0,
atteint,0,1,
sauf,0.23,0.77,
réfléchi,0,0,
psychologique,0.78,0.22,
crevé,0,0,
coupant,1,0,
bronzé,0,0,
achevé,0.67,0.33,
verni,0,0,
tropical,0,0,
triangulaire,0,0,
sujet,0.35,0.65,
sud,0,0,
promis,0.5,0.5,
noué,0,0,
mineur,1,0,
involontaire,1,0,
foudroyant,0,0,
